Group,Condition,Subject_i,Subject_j,Window_i,Window_j,Distance,Subject_ij
high,ROE,02,02,5,5,0.0,"('02', '02')"
high,ROE,02,03,5,5,3.882243983991647,"('02', '03')"
high,ROE,02,04,5,5,6.06961171315979,"('02', '04')"
high,ROE,02,05,5,5,8.186815195724089,"('02', '05')"
high,ROE,02,06,5,5,5.208758376235688,"('02', '06')"
high,ROE,02,07,5,5,4.321715371025091,"('02', '07')"
high,ROE,02,08,5,5,5.895628426208757,"('02', '08')"
high,ROE,02,09,5,5,4.1796279207715825,"('02', '09')"
high,ROE,02,10,5,5,6.274138358806507,"('02', '10')"
high,ROE,02,11,5,5,7.805302839136162,"('02', '11')"
high,ROE,02,13,5,5,4.829505516274076,"('02', '13')"
high,ROE,02,14,5,5,9.338604931223184,"('02', '14')"
high,ROE,02,15,5,5,4.904251729968693,"('02', '15')"
high,ROE,02,16,5,5,6.973603096968402,"('02', '16')"
high,ROE,02,01,6,6,8.918857510144687,"('02', '01')"
high,ROE,02,02,6,6,0.0,"('02', '02')"
high,ROE,02,03,6,6,6.852994176635989,"('02', '03')"
high,ROE,02,04,6,6,8.459527539015745,"('02', '04')"
high,ROE,02,05,6,6,9.934642411517984,"('02', '05')"
high,ROE,02,06,6,6,7.772382135109777,"('02', '06')"
high,ROE,02,07,6,6,7.761090441369594,"('02', '07')"
high,ROE,02,08,6,6,8.456665357707962,"('02', '08')"
high,ROE,02,09,6,6,6.550003312014023,"('02', '09')"
high,ROE,02,10,6,6,10.078937078432652,"('02', '10')"
high,ROE,02,11,6,6,10.513474735873205,"('02', '11')"
high,ROE,02,13,6,6,8.404575351913737,"('02', '13')"
high,ROE,02,14,6,6,8.79107442919107,"('02', '14')"
high,ROE,02,15,6,6,9.462739875104964,"('02', '15')"
high,ROE,02,16,6,6,7.683212500417802,"('02', '16')"
high,ROE,02,01,7,7,7.2005833190642194,"('02', '01')"
high,ROE,02,02,7,7,0.0,"('02', '02')"
high,ROE,02,03,7,7,6.297640482228446,"('02', '03')"
high,ROE,02,04,7,7,7.432307319119732,"('02', '04')"
high,ROE,02,05,7,7,9.032242150201483,"('02', '05')"
high,ROE,02,06,7,7,4.867241960224129,"('02', '06')"
high,ROE,02,07,7,7,6.0993831888608145,"('02', '07')"
high,ROE,02,08,7,7,7.962843932954195,"('02', '08')"
high,ROE,02,09,7,7,5.261375731820525,"('02', '09')"
high,ROE,02,10,7,7,10.315588929497292,"('02', '10')"
high,ROE,02,11,7,7,9.483061629420627,"('02', '11')"
high,ROE,02,13,7,7,6.893026737693277,"('02', '13')"
high,ROE,02,14,7,7,8.304527019872113,"('02', '14')"
high,ROE,02,15,7,7,7.780318063483469,"('02', '15')"
high,ROE,02,16,7,7,6.993719452201078,"('02', '16')"
high,ROE,02,01,8,8,8.429160093292062,"('02', '01')"
high,ROE,02,02,8,8,0.0,"('02', '02')"
high,ROE,02,03,8,8,6.959084051266201,"('02', '03')"
high,ROE,02,04,8,8,8.334976079940867,"('02', '04')"
high,ROE,02,05,8,8,9.065446861558364,"('02', '05')"
high,ROE,02,06,8,8,5.91425052863997,"('02', '06')"
high,ROE,02,07,8,8,7.9045649000396185,"('02', '07')"
high,ROE,02,08,8,8,6.9682633455323995,"('02', '08')"
high,ROE,02,09,8,8,5.935999690717689,"('02', '09')"
high,ROE,02,10,8,8,9.298787988908838,"('02', '10')"
high,ROE,02,11,8,8,9.641697540532972,"('02', '11')"
high,ROE,02,13,8,8,8.197063528639811,"('02', '13')"
high,ROE,02,14,8,8,9.548292548603076,"('02', '14')"
high,ROE,02,15,8,8,8.115974388884563,"('02', '15')"
high,ROE,02,16,8,8,6.82769171687977,"('02', '16')"
high,ROE,02,01,9,9,8.483178675378731,"('02', '01')"
high,ROE,02,02,9,9,0.0,"('02', '02')"
high,ROE,02,03,9,9,8.311500725920244,"('02', '03')"
high,ROE,02,04,9,9,7.7925990638122755,"('02', '04')"
